Fold,Model,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,Fold_Model_Avg
1,SVM,0.8571,0.5,0.7273,0.3,0.0,0.2,1.0,0.6,0.0,0.7778,0.6667,0.6,0.6,0.5,1.0,0.6667,1.0,0.6667,0.5,1.0,0.2,1.0,0.0,0.1429,0.4286,0.0,0.5359
1,Decision Tree,0.2857,0.4,0.5455,0.1,0.0,0.4,0.5,0.6,0.25,0.4444,0.5,1.0,0.4,0.375,0.0,0.8333,0.0,0.0,0.5,1.0,0.2,0.3333,0.2,0.4286,0.2857,0.0,0.3685
1,Random Forest,0.7143,0.3,0.7273,0.2,0.0,0.4,1.0,0.8,0.5,0.7778,0.6667,1.0,0.6,0.375,1.0,0.8333,1.0,0.3333,0.5,1.0,0.2,1.0,0.4,0.1429,0.2857,0.0,0.5675
1,Logistic Regression,1.0,0.3,0.7273,0.2,0.0,0.6,1.0,0.4,0.75,0.7778,0.6667,0.6,0.8,0.5,1.0,0.6667,0.0,1.0,0.375,0.8,0.0,1.0,0.2,0.1429,0.2857,0.0,0.5305
1,KNN,0.8571,0.5,0.8182,0.4,0.0,0.6,1.0,0.4,0.0,0.7778,0.6667,0.6,0.4,0.375,1.0,0.6667,1.0,0.3333,0.375,0.8,0.0,1.0,0.2,0.4286,0.2857,0.0,0.5186
1,Gradient Boosting,0.4286,0.4,0.6364,0.3,0.0,0.4,0.5,0.8,1.0,0.7778,0.5,1.0,0.6,0.5,0.0,0.6667,1.0,0.3333,0.625,0.8,0.0,1.0,0.2,0.4286,0.2857,0.0,0.5070
1,MLP Neural Network,0.4286,0.5,0.7273,0.2,0.0,0.8,1.0,0.4,0.75,0.6667,0.6667,0.6,0.2,0.375,0.0,0.8333,1.0,0.6667,0.375,1.0,0.2,1.0,0.2,0.2857,0.5714,0.0,0.5172
1,MLP (PyTorch),0.7143,0.5,0.9091,0.1,0.0,0.2,1.0,0.4,0.0,0.7778,0.5,0.8,0.8,0.375,1.0,0.6667,0.0,1.0,0.25,0.8,0.0,1.0,0.2,0.0,0.2857,0.0,0.4723
1,CNN (PyTorch),0.7143,0.3,0.6364,0.3,0.0,0.2,1.0,0.4,0.0,0.7778,0.8333,0.6,0.8,0.625,0.0,0.6667,0.0,0.6667,0.25,1.0,0.0,1.0,0.4,0.0,0.2857,0.0,0.4406
1,Fold_1_Avg,0.6667,0.4111,0.7172,0.2333,0.0,0.4222,0.8889,0.5333,0.3611,0.7284,0.6296,0.7556,0.5778,0.4444,0.5556,0.7222,0.5556,0.5556,0.4167,0.9111,0.0889,0.9259,0.2222,0.2222,0.3333,0.0,0.4953
2,SVM,0.8333,0.75,1.0,0.6667,0.0,0.5,0.8,0.625,,0.5714,0.3333,0.75,1.0,1.0,1.0,0.8,0.0,0.75,0.2857,1.0,0.0,0.6,0.3333,0.5,0.625,0.5,0.6089
2,Decision Tree,0.5,0.375,0.75,0.6667,0.0,0.5,0.4,0.5,,0.4286,0.1667,0.5,0.75,0.6667,0.6667,0.6,0.0,0.0,0.2857,0.8333,0.25,0.4,0.0,0.5,0.5,0.1667,0.4162
2,Random Forest,0.6667,0.875,1.0,0.5,0.0,0.5,0.8,0.625,,0.4286,0.6667,0.75,0.75,0.8333,1.0,0.8,0.0,0.5,0.2857,1.0,0.25,0.6,0.3333,0.5,0.625,0.1667,0.5782
2,Logistic Regression,0.8333,0.375,1.0,0.0,0.0,0.0,0.8,0.625,,0.5714,0.1667,0.75,1.0,1.0,0.3333,0.6,0.0,0.75,0.4286,1.0,0.0,0.4,0.3333,0.3333,0.375,0.5,0.4870
2,KNN,0.8333,0.75,1.0,0.5,0.0,0.5,1.0,0.5,,0.4286,0.3333,0.75,0.75,0.6667,0.3333,0.8,0.3333,0.5,0.1429,1.0,0.5,0.6,0.3333,0.1667,0.25,0.1667,0.5255
2,Gradient Boosting,0.6667,0.75,1.0,0.5,0.0,0.0,0.8,0.375,,0.1429,0.5,0.75,1.0,0.8333,0.6667,0.8,0.0,0.5,0.2857,0.8333,0.5,0.4,0.3333,0.3333,0.625,0.1667,0.5105
2,MLP Neural Network,0.75,0.75,0.75,0.5,0.6667,0.5,0.8,0.625,,0.2857,0.3333,0.75,0.75,0.6667,0.3333,0.6,0.0,0.75,0.4286,1.0,0.5,0.6,0.3333,0.6667,0.375,0.3333,0.5619
2,MLP (PyTorch),0.75,0.75,1.0,0.1667,0.0,0.0,0.8,0.875,,0.5714,0.1667,0.75,1.0,0.8333,0.3333,0.6,0.0,0.75,0.1429,1.0,0.0,0.6,0.3333,0.6667,0.5,0.1667,0.5102
2,CNN (PyTorch),0.6667,0.5,0.75,0.3333,0.0,0.0,0.8,0.5,,0.5714,0.3333,0.75,1.0,1.0,1.0,0.8,0.0,0.5,0.2857,1.0,0.25,0.8,0.3333,0.6667,0.625,0.3333,0.5519
2,Fold_2_Avg,0.7222,0.6528,0.9167,0.4259,0.0741,0.2778,0.7778,0.5833,,0.4444,0.3333,0.7222,0.8889,0.8333,0.6296,0.7111,0.037,0.5556,0.2857,0.963,0.25,0.5556,0.2963,0.4815,0.5,0.2778,0.5278
3,SVM,0.75,0.5,0.8,0.8,0.0,0.75,1.0,0.5,1.0,0.4286,0.7143,1.0,0.6667,1.0,0.6,0.6429,0.5,0.0,0.5,0.8333,0.6667,0.375,0.25,0.3,0.1429,0.6,0.5892
3,Decision Tree,0.25,0.625,0.6,0.4,0.0,0.5,1.0,0.1667,0.5,0.2857,0.2857,1.0,0.6667,0.5,0.6,0.5714,0.75,0.0,0.0,0.6667,1.0,0.375,0.5,0.3,0.2857,0.8,0.4857
3,Random Forest,0.75,0.75,1.0,0.8,0.0,0.5,1.0,0.6667,1.0,0.5714,0.4286,1.0,0.6667,1.0,0.6,0.6429,0.5,0.0,0.0,0.8333,0.6667,0.375,0.5,0.4,0.4286,0.8,0.6108
