Fold,Model,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,Fold_Model_Avg
1,SVM,1.0,1.0,1.0,0.8,0.5,0.8,1.0,1.0,1.0,0.7778,0.6667,0.8,0.8,0.75,1.0,0.6667,1.0,0.6667,0.75,1.0,0.8,1.0,0.8,0.8571,0.8571,1.0,0.8574
1,Decision Tree,0.7143,0.8,0.9091,0.3,0.5,0.6,1.0,0.8,0.75,0.7778,0.8333,0.2,0.6,0.75,1.0,0.6667,1.0,0.3333,0.5,0.8,0.4,0.6667,0.8,0.5714,0.4286,1.0,0.6808
1,Random Forest,1.0,1.0,0.9091,0.9,0.5,0.8,1.0,1.0,1.0,0.7778,0.8333,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.6,1.0,0.8,0.7143,0.7143,1.0,0.8932
1,Logistic Regression,1.0,1.0,1.0,0.9,0.5,0.8,1.0,0.8,1.0,0.7778,0.8333,0.8,0.8,0.625,1.0,0.8333,1.0,1.0,0.75,1.0,0.6,1.0,0.8,0.7143,0.7143,1.0,0.8557
1,KNN,1.0,1.0,0.9091,1.0,0.5,0.6,1.0,0.8,1.0,0.7778,0.8333,0.8,0.8,0.75,1.0,0.8333,1.0,0.3333,0.75,1.0,0.6,1.0,1.0,0.7143,0.8571,1.0,0.8407
1,Gradient Boosting,0.8571,0.8,1.0,0.9,0.5,0.6,0.5,0.6,1.0,0.7778,0.8333,0.6,0.8,0.75,1.0,1.0,1.0,0.3333,0.875,1.0,0.6,1.0,0.4,0.5714,0.5714,1.0,0.7642
1,MLP Neural Network,1.0,1.0,0.9091,0.8,0.5,0.8,1.0,1.0,1.0,0.7778,0.6667,0.8,0.8,0.75,0.0,1.0,1.0,0.3333,0.75,1.0,0.6,1.0,0.8,0.7143,0.8571,1.0,0.8022
1,MLP (PyTorch),0.7143,0.9,1.0,0.3,0.25,0.8,1.0,0.8,0.5,0.7778,0.6667,0.8,0.8,0.625,0.0,0.6667,1.0,1.0,0.875,1.0,0.4,1.0,0.8,0.7143,0.8571,1.0,0.7403
1,CNN (PyTorch),1.0,0.9,1.0,0.6,0.5,0.8,1.0,1.0,1.0,0.7778,0.8333,0.8,0.8,0.625,1.0,0.8333,1.0,1.0,0.875,0.8,0.4,1.0,0.8,0.5714,0.7143,1.0,0.8319
1,Fold_1_Avg,0.9206,0.9333,0.9596,0.7222,0.4722,0.7333,0.9444,0.8667,0.9167,0.7778,0.7778,0.7333,0.7778,0.7361,0.7778,0.8333,1.0,0.6667,0.7778,0.9556,0.5556,0.963,0.7778,0.6825,0.7301,1.0,0.8074
2,SVM,1.0,0.875,1.0,0.6667,0.3333,0.5,1.0,0.875,,0.8571,0.3333,0.75,1.0,0.8333,1.0,0.6,0.6667,0.875,0.7143,1.0,1.0,1.0,0.8333,0.8333,0.875,1.0,0.8169
