Fold,Model,a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,Fold_Model_Avg,i
1,SVM,1.0,1.0,0.6667,1.0,0.8889,0.5,1.0,1.0,1.0,1.0,0.5,0.8,0.8,0.25,0.7778,0.9286,1.0,0.9,0.5,1.0,0.5556,0.75,0.8,1.0,1.0,0.8247,
1,Decision Tree,1.0,1.0,0.3333,0.75,0.4444,0.0,0.75,1.0,0.7143,0.6,0.0,0.8,0.4,0.25,0.6667,0.5714,1.0,0.6,1.0,0.5714,0.4444,0.625,0.5,0.5,0.6667,0.6075,
1,Random Forest,1.0,1.0,0.6667,1.0,0.8889,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.5,0.7778,1.0,1.0,0.6,1.0,0.7143,0.6667,0.75,0.8,0.8333,1.0,0.8599,
1,Logistic Regression,1.0,1.0,0.6667,1.0,0.8889,0.5,0.75,1.0,0.8571,0.8,0.0,0.8,0.8,0.5,0.7778,0.7857,1.0,0.8,0.5,0.7143,0.7778,0.875,0.8,0.8333,0.6667,0.7637,
1,KNN,1.0,1.0,0.6667,1.0,0.7778,0.5,1.0,1.0,1.0,0.8,0.5,1.0,1.0,1.0,0.7778,0.7857,1.0,0.8,1.0,0.8571,0.6667,0.875,0.7,0.8333,1.0,0.8616,
1,Gradient Boosting,1.0,1.0,0.6667,1.0,0.8889,0.0,0.75,1.0,1.0,0.8,1.0,0.8,0.8,0.5,0.7778,0.7857,0.5,0.7,0.5,0.7143,0.8889,0.75,0.7,0.6667,0.6667,0.7542,
1,MLP Neural Network,1.0,1.0,0.6667,1.0,0.8889,0.5,1.0,1.0,0.8571,1.0,0.5,1.0,0.8,0.5,0.7778,0.9286,1.0,0.9,1.0,0.8571,0.8889,0.75,0.9,0.8333,1.0,0.8619,
1,MLP (PyTorch),1.0,1.0,0.6667,0.75,0.7778,0.5,1.0,1.0,0.8571,0.8,0.5,1.0,0.4,0.25,0.7778,0.8571,0.5,0.6,0.5,0.7143,0.5556,0.625,0.9,1.0,1.0,0.7413,
1,CNN (PyTorch),1.0,1.0,0.6667,1.0,0.8889,0.5,1.0,1.0,0.8571,0.8,0.5,0.8,0.6,0.25,0.7778,0.7857,0.5,0.8,0.5,0.7143,0.6667,0.75,0.8,1.0,1.0,0.7663,
1,Fold_1_Avg,1.0,1.0,0.6297,0.9444,0.8148,0.3889,0.9167,1.0,0.9047,0.8444,0.5,0.8889,0.7111,0.4444,0.7655,0.8254,0.8333,0.7444,0.7222,0.7619,0.679,0.75,0.7667,0.8333,0.8889,0.7824,
2,SVM,1.0,1.0,0.5,0.7143,1.0,0.0,1.0,1.0,0.5714,0.6154,1.0,0.6,0.4286,0.3333,0.75,1.0,0.8333,0.5,0.5,0.0,0.9091,0.8571,1.0,0.5,1.0,0.7045,
2,Decision Tree,0.8333,0.5,1.0,0.8571,0.6667,0.0,1.0,0.3333,0.5714,0.3846,1.0,0.6,0.2857,0.3333,0.875,1.0,0.5,0.1667,0.25,0.1667,0.5455,0.8571,0.6364,0.5,0.5,0.5745,
2,Random Forest,0.8333,1.0,0.75,0.8571,1.0,0.0,1.0,1.0,0.8571,0.6923,1.0,0.8,0.5714,0.6667,0.875,1.0,0.8333,0.5,0.75,0.1667,0.9091,0.8571,1.0,0.6667,1.0,0.7834,
2,Logistic Regression,0.6667,0.75,1.0,0.8571,1.0,0.0,1.0,0.8333,0.8571,0.5385,1.0,0.6,0.5714,0.3333,0.875,1.0,0.8333,0.6667,0.5,0.0,0.7273,1.0,1.0,0.3333,1.0,0.7177,
2,KNN,1.0,0.5,1.0,0.8571,1.0,0.0,1.0,1.0,0.8571,0.6154,1.0,0.8,0.5714,0.6667,0.875,1.0,0.8333,0.5,1.0,0.3333,0.9091,1.0,1.0,0.3333,1.0,0.7861,
2,Gradient Boosting,0.8333,0.75,0.75,0.8571,1.0,0.0,1.0,0.6667,0.7143,0.6154,1.0,0.8,0.4286,0.6667,0.625,1.0,0.8333,0.6667,0.5,0.1667,0.9091,0.7143,0.9091,0.1667,1.0,0.7029,
2,MLP Neural Network,1.0,0.75,1.0,0.7143,1.0,0.0,1.0,1.0,0.8571,0.7692,0.5,0.4,0.5714,0.6667,0.875,1.0,1.0,0.5,0.75,0.3333,0.9091,1.0,1.0,0.5,1.0,0.7638,
2,MLP (PyTorch),0.6667,0.75,1.0,0.8571,1.0,1.0,1.0,1.0,0.8571,0.6923,0.5,0.6,0.5714,0.3333,0.875,1.0,1.0,0.6667,0.5,0.3333,0.8182,1.0,1.0,0.3333,1.0,0.7742,
2,CNN (PyTorch),0.6667,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.8571,0.8462,1.0,0.8,0.4286,0.3333,0.875,1.0,1.0,0.5,0.75,0.5,0.7273,1.0,1.0,0.6667,1.0,0.8180,
2,Fold_2_Avg,0.8333,0.75,0.8611,0.8412,0.963,0.2222,1.0,0.8704,0.7777,0.641,0.8889,0.6667,0.4921,0.4815,0.8333,1.0,0.8518,0.5185,0.6111,0.2222,0.8182,0.9206,0.9495,0.4444,0.9444,0.7361,
3,SVM,0.8333,0.8889,0.8,1.0,1.0,1.0,0.8571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.875,0.625,0.8462,0.3333,0.1429,1.0,1.0,0.5,0.75,1.0,0.8155,0.0
3,Decision Tree,0.8333,0.7778,0.6,1.0,1.0,1.0,0.7143,0.3333,0.5,0.25,0.4,0.8,1.0,1.0,0.625,0.75,0.25,0.7692,0.3333,0.0,0.5,0.8,0.1667,0.5,1.0,0.6117,0.0
3,Random Forest,0.8333,0.8889,1.0,1.0,1.0,1.0,0.8571,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,0.875,1.0,0.9231,0.0,0.4286,1.0,1.0,0.5,0.5,1.0,0.8259,0.0
3,Logistic Regression,0.8333,0.8889,1.0,1.0,1.0,1.0,0.8571,1.0,0.75,0.75,0.8,0.9,1.0,1.0,0.875,0.75,0.75,0.8462,0.6667,0.4286,0.75,1.0,0.1667,0.25,1.0,0.7793,0.0
