Fold,Model,a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,Fold_Model_Avg,i
1,SVM,1.0,1.0,0.6667,1.0,0.7778,0.5,0.75,1.0,1.0,0.8,0.5,1.0,0.8,0.25,0.6667,1.0,1.0,0.7,0.5,0.7143,0.5556,0.875,0.7,0.5,1.0,0.7702,
1,Decision Tree,0.6667,1.0,0.6667,0.875,0.5556,0.0,0.75,1.0,0.5714,0.8,0.5,0.4,0.6,0.25,0.5556,0.6429,0.0,0.4,0.5,0.8571,0.4444,0.75,0.4,0.5,0.6667,0.5741,
1,Random Forest,1.0,1.0,0.6667,0.875,0.6667,0.5,1.0,1.0,1.0,1.0,0.5,0.8,0.6,0.25,0.5556,0.8571,0.0,0.7,0.5,0.7143,0.5556,0.75,0.7,0.5,1.0,0.7076,
1,Logistic Regression,1.0,1.0,0.6667,1.0,0.6667,1.0,0.75,1.0,1.0,0.8,0.5,1.0,0.6,0.25,0.6667,0.7857,1.0,0.9,0.5,0.7143,0.4444,0.875,0.7,0.6667,1.0,0.7794,
1,KNN,1.0,1.0,0.6667,1.0,0.8889,0.5,0.75,1.0,1.0,1.0,0.5,0.8,0.8,0.25,0.5556,0.7857,1.0,0.8,1.0,0.7143,0.5556,1.0,0.7,0.5,1.0,0.7907,
1,Gradient Boosting,1.0,1.0,0.6667,1.0,0.7778,0.0,0.75,1.0,1.0,0.8,0.5,1.0,0.8,0.25,0.7778,0.7857,0.0,0.8,0.5,0.7143,0.7778,0.625,0.7,0.3333,1.0,0.7023,
1,MLP Neural Network,1.0,1.0,0.6667,0.875,0.8889,0.5,1.0,1.0,0.7143,0.8,0.5,1.0,0.6,0.25,0.7778,0.9286,0.5,0.7,0.5,0.7143,0.6667,1.0,0.7,0.5,0.6667,0.7380,
1,MLP (PyTorch),1.0,1.0,1.0,1.0,0.6667,0.5,0.5,1.0,1.0,0.6,0.5,1.0,0.6,0.25,0.3333,0.7857,0.5,0.8,0.5,0.7143,0.4444,0.5,0.6,0.5,1.0,0.6918,
1,CNN (PyTorch),1.0,1.0,0.6667,1.0,0.6667,0.5,1.0,1.0,1.0,0.8,0.5,1.0,0.8,0.25,0.6667,0.7143,1.0,0.9,0.5,0.7143,0.5556,0.75,0.5,0.8333,1.0,0.7727,
1,Fold_1_Avg,0.963,1.0,0.7037,0.9583,0.7284,0.4444,0.8056,1.0,0.9206,0.8222,0.5,0.8889,0.6889,0.25,0.6173,0.8095,0.5556,0.7444,0.5556,0.7302,0.5556,0.7917,0.6333,0.537,0.9259,0.7252,
2,SVM,0.8333,0.75,0.75,0.7143,1.0,0.0,1.0,1.0,0.8571,0.5385,1.0,0.8,0.8571,0.3333,0.75,1.0,0.8333,0.6667,0.5,0.1667,0.6364,0.8571,0.9091,0.5,1.0,0.7301,
2,Decision Tree,0.8333,0.75,0.75,0.7143,1.0,0.0,0.0,0.6667,1.0,0.5385,1.0,0.6,0.4286,0.3333,0.5,0.4,0.6667,0.3333,0.5,0.1667,0.3636,0.4286,0.6364,0.3333,1.0,0.5577,
2,Random Forest,1.0,0.75,1.0,1.0,1.0,0.0,1.0,0.6667,0.8571,0.6154,1.0,0.6,0.7143,0.3333,1.0,1.0,1.0,0.6667,0.5,0.1667,0.6364,0.7143,0.8182,0.1667,1.0,0.7282,
2,Logistic Regression,0.5,0.25,0.75,0.7143,1.0,0.0,1.0,1.0,0.8571,0.5385,1.0,0.8,0.8571,0.3333,0.75,1.0,0.6667,0.5,0.5,0.0,0.8182,0.5714,0.8182,0.3333,1.0,0.6623,
