Fold,Model,a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,Fold_Model_Avg,i
1,SVM,1.0,1.0,0.6667,1.0,0.7778,0.0,0.75,1.0,1.0,0.6,0.5,0.4,0.6,0.25,0.7778,1.0,1.0,0.6,0.0,0.1429,0.4444,0.5,0.3,0.8333,0.0,0.6057,
1,Decision Tree,0.3333,0.5,0.3333,0.625,0.5556,0.5,0.0,0.5,0.7143,0.6,0.5,0.4,0.2,0.25,0.7778,0.9286,0.5,0.4,0.5,0.2857,0.3333,0.5,0.3,0.6667,0.6667,0.4748,
1,Random Forest,1.0,1.0,0.3333,1.0,0.7778,0.5,0.5,0.5,1.0,0.4,0.5,0.6,0.6,0.25,0.7778,1.0,0.5,0.5,0.0,0.1429,0.3333,0.5,0.2,0.5,0.6667,0.5633,
1,Logistic Regression,1.0,0.5,0.3333,1.0,0.7778,0.0,0.75,0.75,1.0,0.6,0.5,0.4,0.6,0.25,0.8889,0.7857,1.0,0.6,0.0,0.1429,0.4444,0.5,0.5,0.6667,1.0,0.5996,
1,KNN,1.0,1.0,0.6667,1.0,0.7778,0.5,0.75,0.5,1.0,0.4,0.5,0.4,0.0,0.25,0.7778,0.8571,0.5,0.5,0.0,0.2857,0.3333,0.5,0.2,0.1667,0.0,0.5146,
1,Gradient Boosting,0.6667,1.0,0.0,0.875,0.5556,0.0,0.5,0.75,1.0,0.4,0.0,0.2,0.4,0.25,0.7778,0.9286,1.0,0.7,0.5,0.1429,0.5556,0.25,0.2,0.1667,0.0,0.4728,
1,MLP Neural Network,1.0,1.0,0.3333,1.0,0.4444,0.5,0.75,1.0,1.0,0.6,0.5,0.4,0.4,0.25,0.7778,0.9286,0.5,0.5,0.5,0.4286,0.4444,0.25,0.3,0.6667,0.6667,0.6056,
1,MLP (PyTorch),1.0,1.0,0.3333,1.0,0.6667,0.0,0.75,0.75,1.0,0.4,0.5,0.2,0.2,0.25,0.6667,0.7857,0.5,0.6,0.0,0.1429,0.2222,0.25,0.1,0.0,0.3333,0.4660,
1,CNN (PyTorch),1.0,1.0,0.6667,1.0,0.3333,0.0,0.75,0.25,1.0,0.4,0.5,0.4,0.4,0.25,0.7778,0.7857,0.5,0.7,0.0,0.2857,0.3333,0.25,0.2,0.5,0.3333,0.5046,
1,Fold_1_Avg,0.8889,0.8889,0.4074,0.9444,0.6296,0.2222,0.6111,0.6667,0.9683,0.4889,0.4444,0.3778,0.3778,0.25,0.7778,0.8889,0.6667,0.5667,0.1667,0.2222,0.3827,0.3889,0.2556,0.463,0.4074,0.5341,
