Fold,Model,a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,Fold_Model_Avg,i
1,SVM,1.0,1.0,0.6667,0.875,0.8889,0.5,0.75,1.0,1.0,0.8,0.0,1.0,1.0,0.25,0.7778,0.7857,0.5,0.8,0.0,0.7143,0.7778,1.0,1.0,1.0,0.6667,0.7501,
1,Decision Tree,1.0,0.5,0.6667,0.375,0.5556,0.0,0.75,0.5,0.5714,0.0,0.5,0.8,0.4,0.5,0.5556,0.6429,1.0,0.5,0.5,0.4286,0.6667,0.375,0.4,0.1667,0.3333,0.5075,
1,Random Forest,1.0,0.5,0.3333,1.0,0.8889,0.5,0.75,1.0,1.0,0.6,0.0,1.0,1.0,0.75,0.6667,0.9286,1.0,0.7,0.5,0.4286,0.8889,1.0,0.9,0.8333,1.0,0.7667,
1,Logistic Regression,1.0,1.0,0.6667,0.875,0.7778,0.5,0.75,1.0,0.7143,0.6,0.0,1.0,0.8,0.5,0.6667,0.7143,1.0,0.7,0.5,0.5714,0.7778,1.0,0.8,0.5,0.6667,0.7232,
1,KNN,1.0,1.0,0.6667,1.0,0.7778,0.5,0.75,1.0,0.7143,0.8,0.0,1.0,0.8,0.5,0.6667,0.7143,0.5,0.8,0.5,0.5714,0.7778,0.875,0.8,0.5,0.6667,0.7152,
1,Gradient Boosting,1.0,1.0,0.3333,0.875,0.7778,0.5,0.5,0.75,1.0,0.2,1.0,0.8,1.0,0.25,0.6667,0.7143,1.0,0.6,0.5,0.4286,0.5556,1.0,0.6,0.5,0.6667,0.6887,
1,MLP Neural Network,1.0,1.0,0.6667,1.0,0.8889,1.0,0.75,0.5,0.7143,0.8,0.5,1.0,0.8,0.75,0.7778,0.7857,1.0,0.8,1.0,0.4286,0.7778,1.0,0.8,0.8333,1.0,0.8229,
1,MLP (PyTorch),1.0,1.0,0.6667,0.875,0.7778,0.5,1.0,0.75,0.8571,0.8,0.5,1.0,0.8,0.25,0.7778,0.7857,1.0,0.7,0.0,0.7143,0.6667,1.0,0.8,1.0,1.0,0.7688,
1,CNN (PyTorch),1.0,1.0,0.6667,1.0,0.8889,0.5,1.0,0.5,0.8571,0.8,0.0,1.0,0.8,0.25,0.7778,0.7143,1.0,0.8,0.0,0.4286,0.6667,0.875,0.9,0.8333,0.6667,0.7170,
1,Fold_1_Avg,1.0,0.8889,0.5926,0.875,0.8025,0.5,0.7778,0.7778,0.8254,0.6,0.2778,0.9556,0.8222,0.4444,0.7037,0.754,0.8889,0.7111,0.3889,0.5238,0.7284,0.9028,0.7778,0.6852,0.7408,0.7178,
2,SVM,1.0,0.25,0.75,0.8571,1.0,0.0,1.0,0.8333,0.8571,0.6154,0.5,1.0,0.8571,0.3333,0.875,1.0,1.0,0.8333,0.5,0.5,0.7273,1.0,1.0,0.5,1.0,0.7516,
